"","year","state","county_name","county_fips","party","candidatevotes","totalvotes"
"1510",2000,"GEORGIA","CANDLER",13043,"REPUBLICAN",1643,2722
"1513",2000,"GEORGIA","CARROLL",13045,"DEMOCRAT",8752,25741
"1514",2000,"GEORGIA","CARROLL",13045,"REPUBLICAN",16326,25741
"1517",2000,"GEORGIA","CATOOSA",13047,"DEMOCRAT",5470,17721
"1518",2000,"GEORGIA","CATOOSA",13047,"REPUBLICAN",12033,17721
"1521",2000,"GEORGIA","CHARLTON",13049,"DEMOCRAT",1015,2816
"1522",2000,"GEORGIA","CHARLTON",13049,"REPUBLICAN",1770,2816
"1525",2000,"GEORGIA","CHATHAM",13051,"DEMOCRAT",37590,76475
"1526",2000,"GEORGIA","CHATHAM",13051,"REPUBLICAN",37847,76475
"1529",2000,"GEORGIA","CHATTAHOOCHEE",13053,"DEMOCRAT",600,1207
"1530",2000,"GEORGIA","CHATTAHOOCHEE",13053,"REPUBLICAN",590,1207
"1533",2000,"GEORGIA","CHATTOOGA",13055,"DEMOCRAT",2729,6477
"1534",2000,"GEORGIA","CHATTOOGA",13055,"REPUBLICAN",3640,6477
"1537",2000,"GEORGIA","CHEROKEE",13057,"DEMOCRAT",12295,52348
"1538",2000,"GEORGIA","CHEROKEE",13057,"REPUBLICAN",38033,52348
"1541",2000,"GEORGIA","CLARKE",13059,"DEMOCRAT",15167,28904
"1542",2000,"GEORGIA","CLARKE",13059,"REPUBLICAN",11850,28904
"1545",2000,"GEORGIA","CLAY",13061,"DEMOCRAT",821,1277
"1546",2000,"GEORGIA","CLAY",13061,"REPUBLICAN",448,1277
"1549",2000,"GEORGIA","CLAYTON",13063,"DEMOCRAT",40042,61402
"1550",2000,"GEORGIA","CLAYTON",13063,"REPUBLICAN",19966,61402
"1553",2000,"GEORGIA","CLINCH",13065,"DEMOCRAT",816,1929
"1554",2000,"GEORGIA","CLINCH",13065,"REPUBLICAN",1091,1929
"1557",2000,"GEORGIA","COBB",13067,"DEMOCRAT",86676,235027
"1558",2000,"GEORGIA","COBB",13067,"REPUBLICAN",140494,235027
"1561",2000,"GEORGIA","COFFEE",13069,"DEMOCRAT",3593,9430
"1562",2000,"GEORGIA","COFFEE",13069,"REPUBLICAN",5756,9430
"1565",2000,"GEORGIA","COLQUITT",13071,"DEMOCRAT",3297,9972
"1566",2000,"GEORGIA","COLQUITT",13071,"REPUBLICAN",6589,9972
"1569",2000,"GEORGIA","COLUMBIA",13073,"DEMOCRAT",8969,36008
"1570",2000,"GEORGIA","COLUMBIA",13073,"REPUBLICAN",26660,36008
"1573",2000,"GEORGIA","COOK",13075,"DEMOCRAT",1639,3944
"1574",2000,"GEORGIA","COOK",13075,"REPUBLICAN",2279,3944
"1577",2000,"GEORGIA","COWETA",13077,"DEMOCRAT",9056,31226
"1578",2000,"GEORGIA","COWETA",13077,"REPUBLICAN",21327,31226
"1581",2000,"GEORGIA","CRAWFORD",13079,"DEMOCRAT",1513,3567
"1582",2000,"GEORGIA","CRAWFORD",13079,"REPUBLICAN",1987,3567
"1585",2000,"GEORGIA","CRISP",13081,"DEMOCRAT",2268,5609
"1586",2000,"GEORGIA","CRISP",13081,"REPUBLICAN",3285,5609
"1589",2000,"GEORGIA","DADE",13083,"DEMOCRAT",1628,5049
"1590",2000,"GEORGIA","DADE",13083,"REPUBLICAN",3333,5049
"1593",2000,"GEORGIA","DAWSON",13085,"DEMOCRAT",1458,5898
"1594",2000,"GEORGIA","DAWSON",13085,"REPUBLICAN",4210,5898
"1597",2000,"GEORGIA","DECATUR",13087,"DEMOCRAT",3398,7648
"1598",2000,"GEORGIA","DECATUR",13087,"REPUBLICAN",4187,7648
"1601",2000,"GEORGIA","DEKALB",13089,"DEMOCRAT",154509,219980
"1602",2000,"GEORGIA","DEKALB",13089,"REPUBLICAN",58807,219980
"1605",2000,"GEORGIA","DODGE",13091,"DEMOCRAT",2326,5877
"1606",2000,"GEORGIA","DODGE",13091,"REPUBLICAN",3472,5877
"1609",2000,"GEORGIA","DOOLY",13093,"DEMOCRAT",1901,3520
"1610",2000,"GEORGIA","DOOLY",13093,"REPUBLICAN",1588,3520
"1613",2000,"GEORGIA","DOUGHERTY",13095,"DEMOCRAT",16650,29064
"1614",2000,"GEORGIA","DOUGHERTY",13095,"REPUBLICAN",12248,29064
"1617",2000,"GEORGIA","DOUGLAS",13097,"DEMOCRAT",11162,30964
"1618",2000,"GEORGIA","DOUGLAS",13097,"REPUBLICAN",18893,30964
"1621",2000,"GEORGIA","EARLY",13099,"DEMOCRAT",1622,3585
"1622",2000,"GEORGIA","EARLY",13099,"REPUBLICAN",1938,3585
"1625",2000,"GEORGIA","ECHOLS",13101,"DEMOCRAT",272,898
"1626",2000,"GEORGIA","ECHOLS",13101,"REPUBLICAN",614,898
"1629",2000,"GEORGIA","EFFINGHAM",13103,"DEMOCRAT",3232,10650
"1630",2000,"GEORGIA","EFFINGHAM",13103,"REPUBLICAN",7326,10650
"1633",2000,"GEORGIA","ELBERT",13105,"DEMOCRAT",2527,5853
"1634",2000,"GEORGIA","ELBERT",13105,"REPUBLICAN",3262,5853
"1637",2000,"GEORGIA","EMANUEL",13107,"DEMOCRAT",2835,6263
"1638",2000,"GEORGIA","EMANUEL",13107,"REPUBLICAN",3343,6263
"1641",2000,"GEORGIA","EVANS",13109,"DEMOCRAT",1217,3080
"1642",2000,"GEORGIA","EVANS",13109,"REPUBLICAN",1841,3080
"1645",2000,"GEORGIA","FANNIN",13111,"DEMOCRAT",2736,8390
"1646",2000,"GEORGIA","FANNIN",13111,"REPUBLICAN",5463,8390
"1649",2000,"GEORGIA","FAYETTE",13113,"DEMOCRAT",11912,42449
"1650",2000,"GEORGIA","FAYETTE",13113,"REPUBLICAN",29338,42449
"1653",2000,"GEORGIA","FLOYD",13115,"DEMOCRAT",10282,26825
"1654",2000,"GEORGIA","FLOYD",13115,"REPUBLICAN",16194,26825
"1657",2000,"GEORGIA","FORSYTH",13117,"DEMOCRAT",6694,35755
"1658",2000,"GEORGIA","FORSYTH",13117,"REPUBLICAN",27769,35755
"1661",2000,"GEORGIA","FRANKLIN",13119,"DEMOCRAT",2040,5762
"1662",2000,"GEORGIA","FRANKLIN",13119,"REPUBLICAN",3659,5762
"1665",2000,"GEORGIA","FULTON",13121,"DEMOCRAT",152039,263212
"1666",2000,"GEORGIA","FULTON",13121,"REPUBLICAN",104870,263212
"1669",2000,"GEORGIA","GILMER",13123,"DEMOCRAT",2230,7370
"1670",2000,"GEORGIA","GILMER",13123,"REPUBLICAN",4941,7370
"1673",2000,"GEORGIA","GLASCOCK",13125,"DEMOCRAT",249,1020
"1674",2000,"GEORGIA","GLASCOCK",13125,"REPUBLICAN",763,1020
"1677",2000,"GEORGIA","GLYNN",13127,"DEMOCRAT",7778,22384
"1678",2000,"GEORGIA","GLYNN",13127,"REPUBLICAN",14346,22384
"1681",2000,"GEORGIA","GORDON",13129,"DEMOCRAT",4032,12205
"1682",2000,"GEORGIA","GORDON",13129,"REPUBLICAN",7944,12205
"1685",2000,"GEORGIA","GRADY",13131,"DEMOCRAT",2721,6703
"1686",2000,"GEORGIA","GRADY",13131,"REPUBLICAN",3894,6703
"1689",2000,"GEORGIA","GREENE",13133,"DEMOCRAT",2137,5197
"1690",2000,"GEORGIA","GREENE",13133,"REPUBLICAN",2980,5197
"1693",2000,"GEORGIA","GWINNETT",13135,"DEMOCRAT",61434,191111
"1694",2000,"GEORGIA","GWINNETT",13135,"REPUBLICAN",121756,191111
"1697",2000,"GEORGIA","HABERSHAM",13137,"DEMOCRAT",2530,9691
"1698",2000,"GEORGIA","HABERSHAM",13137,"REPUBLICAN",6964,9691
"1701",2000,"GEORGIA","HALL",13139,"DEMOCRAT",10259,38150
"1702",2000,"GEORGIA","HALL",13139,"REPUBLICAN",26841,38150
"1705",2000,"GEORGIA","HANCOCK",13141,"DEMOCRAT",2414,3086
"1706",2000,"GEORGIA","HANCOCK",13141,"REPUBLICAN",662,3086
"1709",2000,"GEORGIA","HARALSON",13143,"DEMOCRAT",2869,8167
"1710",2000,"GEORGIA","HARALSON",13143,"REPUBLICAN",5153,8167
"1713",2000,"GEORGIA","HARRIS",13145,"DEMOCRAT",2912,8562
"1714",2000,"GEORGIA","HARRIS",13145,"REPUBLICAN",5554,8562
"1717",2000,"GEORGIA","HART",13147,"DEMOCRAT",3192,7536
"1718",2000,"GEORGIA","HART",13147,"REPUBLICAN",4242,7536
"1721",2000,"GEORGIA","HEARD",13149,"DEMOCRAT",1178,3198
"1722",2000,"GEORGIA","HEARD",13149,"REPUBLICAN",1947,3198
"1725",2000,"GEORGIA","HENRY",13151,"DEMOCRAT",11971,38867
"1726",2000,"GEORGIA","HENRY",13151,"REPUBLICAN",25815,38867
"1729",2000,"GEORGIA","HOUSTON",13153,"DEMOCRAT",13301,36988
"1730",2000,"GEORGIA","HOUSTON",13153,"REPUBLICAN",23174,36988
"1733",2000,"GEORGIA","IRWIN",13155,"DEMOCRAT",1105,2852
"1734",2000,"GEORGIA","IRWIN",13155,"REPUBLICAN",1720,2852
"1737",2000,"GEORGIA","JACKSON",13157,"DEMOCRAT",3420,11635
"1738",2000,"GEORGIA","JACKSON",13157,"REPUBLICAN",7878,11635
"1741",2000,"GEORGIA","JASPER",13159,"DEMOCRAT",1558,3943
"1742",2000,"GEORGIA","JASPER",13159,"REPUBLICAN",2298,3943
"1745",2000,"GEORGIA","JEFF DAVIS",13161,"DEMOCRAT",1379,4221
"1746",2000,"GEORGIA","JEFF DAVIS",13161,"REPUBLICAN",2797,4221
"1749",2000,"GEORGIA","JEFFERSON",13163,"DEMOCRAT",2973,5566
"1750",2000,"GEORGIA","JEFFERSON",13163,"REPUBLICAN",2559,5566
"1753",2000,"GEORGIA","JENKINS",13165,"DEMOCRAT",1250,2593
"1754",2000,"GEORGIA","JENKINS",13165,"REPUBLICAN",1317,2593
"1757",2000,"GEORGIA","JOHNSON",13167,"DEMOCRAT",1065,2883
"1758",2000,"GEORGIA","JOHNSON",13167,"REPUBLICAN",1797,2883
"1761",2000,"GEORGIA","JONES",13169,"DEMOCRAT",3102,8068
"1762",2000,"GEORGIA","JONES",13169,"REPUBLICAN",4850,8068
"1765",2000,"GEORGIA","LAMAR",13171,"DEMOCRAT",2194,5230
"1766",2000,"GEORGIA","LAMAR",13171,"REPUBLICAN",2912,5230
"1769",2000,"GEORGIA","LANIER",13173,"DEMOCRAT",832,1904
"1770",2000,"GEORGIA","LANIER",13173,"REPUBLICAN",1048,1904
"1773",2000,"GEORGIA","LAURENS",13175,"DEMOCRAT",5724,14036
"1774",2000,"GEORGIA","LAURENS",13175,"REPUBLICAN",8133,14036
"1777",2000,"GEORGIA","LEE",13177,"DEMOCRAT",1936,7884
"1778",2000,"GEORGIA","LEE",13177,"REPUBLICAN",5872,7884
"1781",2000,"GEORGIA","LIBERTY",13179,"DEMOCRAT",5347,9972
"1782",2000,"GEORGIA","LIBERTY",13179,"REPUBLICAN",4455,9972
"1785",2000,"GEORGIA","LINCOLN",13181,"DEMOCRAT",1275,3103
"1786",2000,"GEORGIA","LINCOLN",13181,"REPUBLICAN",1807,3103
"1789",2000,"GEORGIA","LONG",13183,"DEMOCRAT",975,2314
"1790",2000,"GEORGIA","LONG",13183,"REPUBLICAN",1320,2314
"1793",2000,"GEORGIA","LOWNDES",13185,"DEMOCRAT",10616,25432
"1794",2000,"GEORGIA","LOWNDES",13185,"REPUBLICAN",14462,25432
"1797",2000,"GEORGIA","LUMPKIN",13187,"DEMOCRAT",2121,6750
"1798",2000,"GEORGIA","LUMPKIN",13187,"REPUBLICAN",4427,6750
"1801",2000,"GEORGIA","MCDUFFIE",13189,"DEMOCRAT",2580,6550
"1802",2000,"GEORGIA","MCDUFFIE",13189,"REPUBLICAN",3926,6550
"1805",2000,"GEORGIA","MCINTOSH",13191,"DEMOCRAT",2047,3837
"1806",2000,"GEORGIA","MCINTOSH",13191,"REPUBLICAN",1766,3837
"1809",2000,"GEORGIA","MACON",13193,"DEMOCRAT",2757,4355
"1810",2000,"GEORGIA","MACON",13193,"REPUBLICAN",1566,4355
"1813",2000,"GEORGIA","MADISON",13195,"DEMOCRAT",2285,7993
"1814",2000,"GEORGIA","MADISON",13195,"REPUBLICAN",5529,7993
"1817",2000,"GEORGIA","MARION",13197,"DEMOCRAT",982,2184
"1818",2000,"GEORGIA","MARION",13197,"REPUBLICAN",1187,2184
"1821",2000,"GEORGIA","MERIWETHER",13199,"DEMOCRAT",3441,6709
"1822",2000,"GEORGIA","MERIWETHER",13199,"REPUBLICAN",3162,6709
"1825",2000,"GEORGIA","MILLER",13201,"DEMOCRAT",783,2150
"1826",2000,"GEORGIA","MILLER",13201,"REPUBLICAN",1349,2150
"1829",2000,"GEORGIA","MITCHELL",13205,"DEMOCRAT",2971,5799
"1830",2000,"GEORGIA","MITCHELL",13205,"REPUBLICAN",2790,5799
"1833",2000,"GEORGIA","MONROE",13207,"DEMOCRAT",2839,7541
"1834",2000,"GEORGIA","MONROE",13207,"REPUBLICAN",4561,7541
"1837",2000,"GEORGIA","MONTGOMERY",13209,"DEMOCRAT",1013,2509
"1838",2000,"GEORGIA","MONTGOMERY",13209,"REPUBLICAN",1465,2509
"1841",2000,"GEORGIA","MORGAN",13211,"DEMOCRAT",2238,5902
"1842",2000,"GEORGIA","MORGAN",13211,"REPUBLICAN",3524,5902
"1845",2000,"GEORGIA","MURRAY",13213,"DEMOCRAT",2684,8372
"1846",2000,"GEORGIA","MURRAY",13213,"REPUBLICAN",5539,8372
"1849",2000,"GEORGIA","MUSCOGEE",13215,"DEMOCRAT",28193,52163
"1850",2000,"GEORGIA","MUSCOGEE",13215,"REPUBLICAN",23479,52163
"1853",2000,"GEORGIA","NEWTON",13217,"DEMOCRAT",6703,18375
"1854",2000,"GEORGIA","NEWTON",13217,"REPUBLICAN",11127,18375
"1857",2000,"GEORGIA","OCONEE",13219,"DEMOCRAT",3184,11168
"1858",2000,"GEORGIA","OCONEE",13219,"REPUBLICAN",7611,11168
"1861",2000,"GEORGIA","OGLETHORPE",13221,"DEMOCRAT",1519,4385
"1862",2000,"GEORGIA","OGLETHORPE",13221,"REPUBLICAN",2706,4385
"1865",2000,"GEORGIA","PAULDING",13223,"DEMOCRAT",6743,24260
"1866",2000,"GEORGIA","PAULDING",13223,"REPUBLICAN",16881,24260
"1869",2000,"GEORGIA","PEACH",13225,"DEMOCRAT",3540,7137
"1870",2000,"GEORGIA","PEACH",13225,"REPUBLICAN",3525,7137
"1873",2000,"GEORGIA","PICKENS",13227,"DEMOCRAT",2489,8201
"1874",2000,"GEORGIA","PICKENS",13227,"REPUBLICAN",5488,8201
"1877",2000,"GEORGIA","PIERCE",13229,"DEMOCRAT",1300,4681
"1878",2000,"GEORGIA","PIERCE",13229,"REPUBLICAN",3348,4681
"1881",2000,"GEORGIA","PIKE",13231,"DEMOCRAT",1413,4885
"1882",2000,"GEORGIA","PIKE",13231,"REPUBLICAN",3358,4885
"1885",2000,"GEORGIA","POLK",13233,"DEMOCRAT",4112,10116
"1886",2000,"GEORGIA","POLK",13233,"REPUBLICAN",5841,10116
"1889",2000,"GEORGIA","PULASKI",13235,"DEMOCRAT",1390,3346
"1890",2000,"GEORGIA","PULASKI",13235,"REPUBLICAN",1922,3346
"1893",2000,"GEORGIA","PUTNAM",13237,"DEMOCRAT",2612,6299
"1894",2000,"GEORGIA","PUTNAM",13237,"REPUBLICAN",3596,6299
"1897",2000,"GEORGIA","QUITMAN",13239,"DEMOCRAT",542,904
"1898",2000,"GEORGIA","QUITMAN",13239,"REPUBLICAN",348,904
"1901",2000,"GEORGIA","RABUN",13241,"DEMOCRAT",1776,5341
"1902",2000,"GEORGIA","RABUN",13241,"REPUBLICAN",3451,5341
"1905",2000,"GEORGIA","RANDOLPH",13243,"DEMOCRAT",1381,2569
"1906",2000,"GEORGIA","RANDOLPH",13243,"REPUBLICAN",1174,2569
"1909",2000,"GEORGIA","RICHMOND",13245,"DEMOCRAT",31413,57538
"1910",2000,"GEORGIA","RICHMOND",13245,"REPUBLICAN",25485,57538
"1913",2000,"GEORGIA","ROCKDALE",13247,"DEMOCRAT",8295,24649
"1914",2000,"GEORGIA","ROCKDALE",13247,"REPUBLICAN",15440,24649
"1917",2000,"GEORGIA","SCHLEY",13249,"DEMOCRAT",460,1176
"1918",2000,"GEORGIA","SCHLEY",13249,"REPUBLICAN",706,1176
"1921",2000,"GEORGIA","SCREVEN",13251,"DEMOCRAT",2233,4719
"1922",2000,"GEORGIA","SCREVEN",13251,"REPUBLICAN",2461,4719
"1925",2000,"GEORGIA","SEMINOLE",13253,"DEMOCRAT",1313,2877
"1926",2000,"GEORGIA","SEMINOLE",13253,"REPUBLICAN",1537,2877
"1929",2000,"GEORGIA","SPALDING",13255,"DEMOCRAT",5831,15391
"1930",2000,"GEORGIA","SPALDING",13255,"REPUBLICAN",9271,15391
"1933",2000,"GEORGIA","STEPHENS",13257,"DEMOCRAT",2869,8376
"1934",2000,"GEORGIA","STEPHENS",13257,"REPUBLICAN",5370,8376
"1937",2000,"GEORGIA","STEWART",13259,"DEMOCRAT",1267,1954
"1938",2000,"GEORGIA","STEWART",13259,"REPUBLICAN",675,1954
"1941",2000,"GEORGIA","SUMTER",13261,"DEMOCRAT",4748,9697
"1942",2000,"GEORGIA","SUMTER",13261,"REPUBLICAN",4847,9697
"1945",2000,"GEORGIA","TALBOT",13263,"DEMOCRAT",1662,2531
"1946",2000,"GEORGIA","TALBOT",13263,"REPUBLICAN",844,2531
"1949",2000,"GEORGIA","TALIAFERRO",13265,"DEMOCRAT",556,832
"1950",2000,"GEORGIA","TALIAFERRO",13265,"REPUBLICAN",271,832
"1953",2000,"GEORGIA","TATTNALL",13267,"DEMOCRAT",1963,5610
"1954",2000,"GEORGIA","TATTNALL",13267,"REPUBLICAN",3597,5610
"1957",2000,"GEORGIA","TAYLOR",13269,"DEMOCRAT",1340,2780
"1958",2000,"GEORGIA","TAYLOR",13269,"REPUBLICAN",1412,2780
"1961",2000,"GEORGIA","TELFAIR",13271,"DEMOCRAT",1777,3493
"1962",2000,"GEORGIA","TELFAIR",13271,"REPUBLICAN",1693,3493
"1965",2000,"GEORGIA","TERRELL",13273,"DEMOCRAT",1584,3113
"1966",2000,"GEORGIA","TERRELL",13273,"REPUBLICAN",1504,3113
"1969",2000,"GEORGIA","THOMAS",13275,"DEMOCRAT",4862,12058
"1970",2000,"GEORGIA","THOMAS",13275,"REPUBLICAN",7093,12058
"1973",2000,"GEORGIA","TIFT",13277,"DEMOCRAT",3547,10328
"1974",2000,"GEORGIA","TIFT",13277,"REPUBLICAN",6678,10328
"1977",2000,"GEORGIA","TOOMBS",13279,"DEMOCRAT",2643,7210
"1978",2000,"GEORGIA","TOOMBS",13279,"REPUBLICAN",4487,7210
"1981",2000,"GEORGIA","TOWNS",13281,"DEMOCRAT",1495,4497
"1982",2000,"GEORGIA","TOWNS",13281,"REPUBLICAN",2902,4497
"1985",2000,"GEORGIA","TREUTLEN",13283,"DEMOCRAT",879,1963
"1986",2000,"GEORGIA","TREUTLEN",13283,"REPUBLICAN",1062,1963
"1989",2000,"GEORGIA","TROUP",13285,"DEMOCRAT",6379,17804
"1990",2000,"GEORGIA","TROUP",13285,"REPUBLICAN",11198,17804
"1993",2000,"GEORGIA","TURNER",13287,"DEMOCRAT",1169,2456
"1994",2000,"GEORGIA","TURNER",13287,"REPUBLICAN",1258,2456
"1997",2000,"GEORGIA","TWIGGS",13289,"DEMOCRAT",1977,3615
"1998",2000,"GEORGIA","TWIGGS",13289,"REPUBLICAN",1570,3615
"2001",2000,"GEORGIA","UNION",13291,"DEMOCRAT",2230,6956
"2002",2000,"GEORGIA","UNION",13291,"REPUBLICAN",4567,6956
"2005",2000,"GEORGIA","UPSON",13293,"DEMOCRAT",3158,8282
"2006",2000,"GEORGIA","UPSON",13293,"REPUBLICAN",5019,8282
"2009",2000,"GEORGIA","WALKER",13295,"DEMOCRAT",6341,18895
"2010",2000,"GEORGIA","WALKER",13295,"REPUBLICAN",12326,18895
"2013",2000,"GEORGIA","WALTON",13297,"DEMOCRAT",5484,19083
"2014",2000,"GEORGIA","WALTON",13297,"REPUBLICAN",12966,19083
"2017",2000,"GEORGIA","WARE",13299,"DEMOCRAT",3480,9628
"2018",2000,"GEORGIA","WARE",13299,"REPUBLICAN",6099,9628
"2021",2000,"GEORGIA","WARREN",13301,"DEMOCRAT",1196,2145
"2022",2000,"GEORGIA","WARREN",13301,"REPUBLICAN",933,2145
"2025",2000,"GEORGIA","WASHINGTON",13303,"DEMOCRAT",3476,6691
"2026",2000,"GEORGIA","WASHINGTON",13303,"REPUBLICAN",3162,6691
"2029",2000,"GEORGIA","WAYNE",13305,"DEMOCRAT",2736,8004
"2030",2000,"GEORGIA","WAYNE",13305,"REPUBLICAN",5219,8004
"2033",2000,"GEORGIA","WEBSTER",13307,"DEMOCRAT",541,909
"2034",2000,"GEORGIA","WEBSTER",13307,"REPUBLICAN",359,909
"2037",2000,"GEORGIA","WHEELER",13309,"DEMOCRAT",752,1575
"2038",2000,"GEORGIA","WHEELER",13309,"REPUBLICAN",813,1575
"2041",2000,"GEORGIA","WHITE",13311,"DEMOCRAT",2014,7043
"2042",2000,"GEORGIA","WHITE",13311,"REPUBLICAN",4857,7043
"2045",2000,"GEORGIA","WHITFIELD",13313,"DEMOCRAT",7034,23302
"2046",2000,"GEORGIA","WHITFIELD",13313,"REPUBLICAN",15852,23302
"2049",2000,"GEORGIA","WILCOX",13315,"DEMOCRAT",962,2365
"2050",2000,"GEORGIA","WILCOX",13315,"REPUBLICAN",1381,2365
"2053",2000,"GEORGIA","WILKES",13317,"DEMOCRAT",1940,4026
"2054",2000,"GEORGIA","WILKES",13317,"REPUBLICAN",2044,4026
"2057",2000,"GEORGIA","WILKINSON",13319,"DEMOCRAT",1884,3740
"2058",2000,"GEORGIA","WILKINSON",13319,"REPUBLICAN",1800,3740
"2061",2000,"GEORGIA","WORTH",13321,"DEMOCRAT",2214,6061
"2062",2000,"GEORGIA","WORTH",13321,"REPUBLICAN",3792,6061
"2065",2000,"HAWAII","HAWAII",15001,"DEMOCRAT",28670,50860
"2066",2000,"HAWAII","HAWAII",15001,"REPUBLICAN",17050,50860
"2069",2000,"HAWAII","HONOLULU",15003,"DEMOCRAT",139618,255990
"2070",2000,"HAWAII","HONOLULU",15003,"REPUBLICAN",101310,255990
"2073",2000,"HAWAII","KAUAI",15007,"DEMOCRAT",13470,21773
"2074",2000,"HAWAII","KAUAI",15007,"REPUBLICAN",6583,21773
"2077",2000,"HAWAII","MAUI",15009,"DEMOCRAT",23484,39248
"2078",2000,"HAWAII","MAUI",15009,"REPUBLICAN",12876,39248
"2081",2000,"IDAHO","ADA",16001,"DEMOCRAT",40650,123485
"2082",2000,"IDAHO","ADA",16001,"REPUBLICAN",75050,123485
"2085",2000,"IDAHO","ADAMS",16003,"DEMOCRAT",336,1909
"2086",2000,"IDAHO","ADAMS",16003,"REPUBLICAN",1476,1909
"2089",2000,"IDAHO","BANNOCK",16005,"DEMOCRAT",10892,30852
"2090",2000,"IDAHO","BANNOCK",16005,"REPUBLICAN",18223,30852
"2093",2000,"IDAHO","BEAR LAKE",16007,"DEMOCRAT",517,2899
"2094",2000,"IDAHO","BEAR LAKE",16007,"REPUBLICAN",2296,2899
"2097",2000,"IDAHO","BENEWAH",16009,"DEMOCRAT",895,3687
"2098",2000,"IDAHO","BENEWAH",16009,"REPUBLICAN",2606,3687
"2101",2000,"IDAHO","BINGHAM",16011,"DEMOCRAT",3310,14465
"2102",2000,"IDAHO","BINGHAM",16011,"REPUBLICAN",10628,14465
"2105",2000,"IDAHO","BLAINE",16013,"DEMOCRAT",3748,7938
"2106",2000,"IDAHO","BLAINE",16013,"REPUBLICAN",3528,7938
"2109",2000,"IDAHO","BOISE",16015,"DEMOCRAT",745,3055
"2110",2000,"IDAHO","BOISE",16015,"REPUBLICAN",2019,3055
"2113",2000,"IDAHO","BONNER",16017,"DEMOCRAT",4318,14537
"2114",2000,"IDAHO","BONNER",16017,"REPUBLICAN",8945,14537
"2117",2000,"IDAHO","BONNEVILLE",16019,"DEMOCRAT",7235,33556
"2118",2000,"IDAHO","BONNEVILLE",16019,"REPUBLICAN",24988,33556
"2121",2000,"IDAHO","BOUNDARY",16021,"DEMOCRAT",832,3884
"2122",2000,"IDAHO","BOUNDARY",16021,"REPUBLICAN",2797,3884
"2125",2000,"IDAHO","BUTTE",16023,"DEMOCRAT",354,1460
"2126",2000,"IDAHO","BUTTE",16023,"REPUBLICAN",1054,1460
"2129",2000,"IDAHO","CAMAS",16025,"DEMOCRAT",113,507
"2130",2000,"IDAHO","CAMAS",16025,"REPUBLICAN",359,507
"2133",2000,"IDAHO","CANYON",16027,"DEMOCRAT",10588,43000
"2134",2000,"IDAHO","CANYON",16027,"REPUBLICAN",30560,43000
"2137",2000,"IDAHO","CARIBOU",16029,"DEMOCRAT",475,3177
"2138",2000,"IDAHO","CARIBOU",16029,"REPUBLICAN",2601,3177
"2141",2000,"IDAHO","CASSIA",16031,"DEMOCRAT",1087,7279
"2142",2000,"IDAHO","CASSIA",16031,"REPUBLICAN",5983,7279
"2145",2000,"IDAHO","CLARK",16033,"DEMOCRAT",63,382
"2146",2000,"IDAHO","CLARK",16033,"REPUBLICAN",311,382
"2149",2000,"IDAHO","CLEARWATER",16035,"DEMOCRAT",841,3896
"2150",2000,"IDAHO","CLEARWATER",16035,"REPUBLICAN",2885,3896
"2153",2000,"IDAHO","CUSTER",16037,"DEMOCRAT",416,2330
"2154",2000,"IDAHO","CUSTER",16037,"REPUBLICAN",1794,2330
"2157",2000,"IDAHO","ELMORE",16039,"DEMOCRAT",1840,6966
"2158",2000,"IDAHO","ELMORE",16039,"REPUBLICAN",4891,6966
"2161",2000,"IDAHO","FRANKLIN",16041,"DEMOCRAT",513,4243
"2162",2000,"IDAHO","FRANKLIN",16041,"REPUBLICAN",3594,4243
"2165",2000,"IDAHO","FREMONT",16043,"DEMOCRAT",699,5088
"2166",2000,"IDAHO","FREMONT",16043,"REPUBLICAN",4242,5088
"2169",2000,"IDAHO","GEM",16045,"DEMOCRAT",1346,5983
"2170",2000,"IDAHO","GEM",16045,"REPUBLICAN",4376,5983
"2173",2000,"IDAHO","GOODING",16047,"DEMOCRAT",1282,5026
"2174",2000,"IDAHO","GOODING",16047,"REPUBLICAN",3502,5026
"2177",2000,"IDAHO","IDAHO",16049,"DEMOCRAT",1187,7452
"2178",2000,"IDAHO","IDAHO",16049,"REPUBLICAN",5806,7452
"2181",2000,"IDAHO","JEFFERSON",16051,"DEMOCRAT",1100,7836
"2182",2000,"IDAHO","JEFFERSON",16051,"REPUBLICAN",6480,7836
"2185",2000,"IDAHO","JEROME",16053,"DEMOCRAT",1360,6007
"2186",2000,"IDAHO","JEROME",16053,"REPUBLICAN",4418,6007
"2189",2000,"IDAHO","KOOTENAI",16055,"DEMOCRAT",13488,43812
"2190",2000,"IDAHO","KOOTENAI",16055,"REPUBLICAN",28162,43812
"2193",2000,"IDAHO","LATAH",16057,"DEMOCRAT",5661,15311
"2194",2000,"IDAHO","LATAH",16057,"REPUBLICAN",8161,15311
"2197",2000,"IDAHO","LEMHI",16059,"DEMOCRAT",660,3641
"2198",2000,"IDAHO","LEMHI",16059,"REPUBLICAN",2859,3641
"2201",2000,"IDAHO","LEWIS",16061,"DEMOCRAT",335,1688
"2202",2000,"IDAHO","LEWIS",16061,"REPUBLICAN",1295,1688
"2205",2000,"IDAHO","LINCOLN",16063,"DEMOCRAT",437,1574
"2206",2000,"IDAHO","LINCOLN",16063,"REPUBLICAN",1049,1574
"2209",2000,"IDAHO","MADISON",16065,"DEMOCRAT",816,8970
